Item Number,Qty 1,Price Code,USD Price Blanks,
HL-102," 	2,500 ",C,0.68,
SM-3650, 	75 ,C,1.79,
SM-3657, 	37 ,C,4.31,
SM-3665, 	50 ,C,3.59,
SM-3668, 	25 ,C,6.29,
SM-3670, 	20 ,C,10.79,
SM-3672, 	20 ,C,9.89,
SM-3675, 	25 ,C,6.29,
SM-3696, 	87 ,C,1.97,
SM-3779, 	150 ,C,0.98,
SM-3785, 	75 ,C,1.52,
SM-3793, 	50 ,C,7.19,
SM-3804, 	62 ,C,1.94,
SM-3806, 	75 ,C,1.79,
SM-3807, 	50 ,C,1.58,
SM-3808, 	50 ,C,3.14,
SM-3809, 	100 ,C,1.07,
SM-3810, 	50 ,C,1.70,
SM-3811, 	50 ,C,3.23,
SM-3812, 	37 ,C,4.49,
SM-3814, 	50 ,C,2.42,
SM-3817, 	50 ,C,2.69,
SM-3818, 	37 ,C,4.49,
SM-3819, 	25 ,C,6.29,
SM-3824, 	150 ,C,0.89,
SM-3826, 	50 ,C,2.69,
SM-3827, 	50 ,C,2.51,
SM-3829, 	12 ,C,9.44,
SM-3832, 	125 ,C,0.89,
SM-3834, 	25 ,C,4.49,
SM-3836, 	75 ,C,1.61,
SM-3838, 	50 ,C,2.42,
SM-3839, 	125 ,C,1.43,
SM-3840, 	50 ,C,2.51,
SM-3841, 	37 ,C,4.49,
SM-3843, 	25 ,C,7.19,
SM-3844, 	75 ,C,1.79,
SM-3845, 	50 ,C,2.51,
SM-3847, 	50 ,C,2.69,
SM-3850, 	150 ,C,0.80,
SM-3853, 	12 ,C,12.59,
SM-3856, 	125 ,C,1.13,
SM-3858, 	162 ,C,0.80,
SM-3859, 	175 ,C,0.71,
SM-3861, 	125 ,C,2.03,
SM-3863, 	50 ,C,3.59,
SM-3865, 	150 ,C,0.89,
SM-3866, 	150 ,C,0.80,
SM-3868, 	125 ,C,1.79,
SM-3869, 	25 ,C,8.09,
SM-3870, 	75 ,C,2.06,
SM-3871, 	162 ,C,0.80,
SM-3874, 	125 ,C,1.34,
SM-3876, 	187 ,C,0.71,
SM-3877, 	75 ,C,1.76,
SM-3879, 	75 ,C,1.61,
SM-3880, 	50 ,C,2.66,
SM-3881, 	25 ,C,6.92,
SM-3885, 	75 ,C,2.42,
SM-3886, 	50 ,C,2.42,
SM-3887, 	37 ,C,5.30,
SM-3888, 	12 ,C,13.49,
SM-3890, 	250 ,C,0.59,
SM-3891, 	75 ,C,2.24,
SM-3892, 	125 ,C,1.16,
SM-3893, 	75 ,C,2.24,
SM-3894, 	200 ,C,0.89,
SM-3896, 	125 ,C,1.43,
SM-3898, 	50 ,C,2.69,
SM-3901, 	25 ,C,7.18,
SM-3903, 	50 ,C,4.49,
