SKU,Product Line,Name,Item Color,Description,Features,Finish / Material,IsAdvantage24,Categories,Decoration Methods,Item Size,Decoration Height,Decoration Width,LessThanMin1Qty,LessThanMin1Charge,PricePoint1Qty,PricePoint1Price,PricePoint1Code,PricePoint2Qty,PricePoint2Price,PricePoint2Code,PricePoint3Qty,PricePoint3Price,PricePoint3Code,PricePoint4Qty,PricePoint4Price,PricePoint4Code,PricePoint5Qty,PricePoint5Price,PricePoint5Code,PricePoint6Qty,PricePoint6Price,PricePoint6Code,End Column Price,Catalog Page,Box Weight,Quantity Per Box,Box Length,Paper Insert Initial Setup,Paper Insert Repeat Setup,Production Time,ProductID
GR4402L,Giftcor,,Light Blue,24-Can Cooler Bag,"The 21 liter cooler bag holds 24 12 oz. cans, has a PEVA lining, carry handle, an adjustable shoulder strap and mesh pockets.","420D Polyester, Mesh, PEVA Lining",YES,"Picnic, Coolers",Print,12 W x 14 H x 8 1/4 D,4,2,25,25,50,16.25,c,100,15.75,c,250,15.25,c,500,14.75,c,0,0,c,0,0,c,14.75,LM_239,31,28,29,0,0,5-7 Working Days,4911
GR4402R,Giftcor,,Red,24-Can Cooler Bag,"The 21 liter cooler bag holds 24 12 oz. cans, has a PEVA lining, carry handle, an adjustable shoulder strap and mesh pockets.","420D Polyester, Mesh, PEVA Lining",YES,"Picnic, Coolers",Print,12 W x 14 H x 8 1/4 D,4,2,25,25,50,16.25,c,100,15.75,c,250,15.25,c,500,14.75,c,0,0,c,0,0,c,14.75,LM_239,31,28,29,0,0,5-7 Working Days,4911
GR4403N,Giftcor,,Blue,12-Can Cooler,"12-can cooler with zippered closure, front pocket, water tight PEVA lining, and 38"" x 1"" adjustable shoulder strap.","PEVA Lining, 70D",YES,Coolers,Print,8 1/2 W x 10 H x 7 D,4,3,50,25,100,6.32,c,250,6.05,c,500,5.78,c,1000,5.43,c,2500,5.25,c,0,0,c,5.25,VM_96,31,70,29,0,0,5-7 Working Days,5139
GR4403R,Giftcor,,Red,12-Can Cooler,"12-can cooler with zippered closure, front pocket, water tight PEVA lining, and 38"" x 1"" adjustable shoulder strap.","PEVA Lining, 70D",YES,Coolers,Print,8 1/2 W x 10 H x 7 D,4,3,50,25,100,6.32,c,250,6.05,c,500,5.78,c,1000,5.43,c,2500,5.25,c,0,0,c,5.25,VM_96,31,70,29,0,0,5-7 Working Days,5139
GR4404,Giftcor,,Brown,Large Cooler Bag,"Large capacity 30-can cooler made from long wearing Novohyde material, thick padded PEVA lining with foil lined top flap, zippered closure, 1 1/2"" x 44"" removable and adjustable padded shoulder strap, metal hardware, front pocket, side mesh pockets and side carry handles.","Novohyde, PEVA Lining",NO,"Coolers, Leather Bags",Full Color Dome,14 W x 15 H x 8 1/2 D,1/1/2002,7/8/2015,5,25,12,38.95,c,25,36.95,c,50,34.95,c,100,32.95,c,0,0,c,0,0,c,32.95,LM_231,22,12,28.35,0,0,5-7 Working Days,5377
GR4405B,Giftcor,,Black,Oval Cooler Bag,"16-can cooler with front pocket and back pocket, carry handle, 1 1/2"" x 58"" adjustable shoulder strap, inside mesh pocket and PEVA lining.","PEVA Lining, 600D Poly",NO,Coolers,Full Color Dome,11 1/2 W x 12 1/2 H x 7 D,2,3/4/2015,25,25,50,14,c,100,13.5,c,250,13,c,500,12.5,c,0,0,c,0,0,c,12.5,LM_236,21,10,17.33,0,0,5-7 Working Days,5378
GR4405N,Giftcor,,Navy,Oval Cooler Bag,"16-can cooler with front pocket and back pocket, carry handle, 1 1/2"" x 58"" adjustable shoulder strap, inside mesh pocket and PEVA lining.","PEVA Lining, 600D Poly",NO,Coolers,Full Color Dome,11 1/2 W x 12 1/2 H x 7 D,2,3/4/2015,25,25,50,14,c,100,13.5,c,250,13,c,500,12.5,c,0,0,c,0,0,c,12.5,LM_236,21,10,17.33,0,0,5-7 Working Days,5378
GR4406B,Giftcor,,Black,24-Can Cooler,"24-can cooler with heat sealed PEVA lining, zippered front pocket, two mesh front pockets, front cell phone pocket with hook and loop closure, top elastic cord, zippered main compartment, bottom stiffener, 1 1/4"" x 45"" adjustable shoulder strap. Collapses down for storage and stays flat using side hook and loop tabs.","PEVA Lining, 70D",NO,Coolers,Full Color Dome,11 3/4 W x 10 1/2 H x 7 D,2,3/4/2015,25,25,50,13.62,c,100,13.19,c,250,12.78,c,500,12.37,c,1000,11.95,c,0,0,c,11.95,VM_97,21,20,23,0,0,5-7 Working Days,5497
GR4406G,Giftcor,,Lime,24-Can Cooler,"24-can cooler with heat sealed PEVA lining, zippered front pocket, two mesh front pockets, front cell phone pocket with hook and loop closure, top elastic cord, zippered main compartment, bottom stiffener, 1 1/4"" x 45"" adjustable shoulder strap. Collapses down for storage and stays flat using side hook and loop tabs.","PEVA Lining, 70D",NO,Coolers,Full Color Dome,11 3/4 W x 10 1/2 H x 7 D,2,3/4/2015,25,25,50,13.62,c,100,13.19,c,250,12.78,c,500,12.37,c,1000,11.95,c,0,0,c,11.95,VM_97,21,20,23,0,0,5-7 Working Days,5497
GR4406N,Giftcor,,Blue,24-Can Cooler,"24-can cooler with heat sealed PEVA lining, zippered front pocket, two mesh front pockets, front cell phone pocket with hook and loop closure, top elastic cord, zippered main compartment, bottom stiffener, 1 1/4"" x 45"" adjustable shoulder strap. Collapses down for storage and stays flat using side hook and loop tabs.","PEVA Lining, 70D",NO,Coolers,Full Color Dome,11 3/4 W x 10 1/2 H x 7 D,2,3/4/2015,25,25,50,13.62,c,100,13.19,c,250,12.78,c,500,12.37,c,1000,11.95,c,0,0,c,11.95,VM_97,21,20,23,0,0,5-7 Working Days,5497
