SKU,Item Name,Imprint Method,Pricing-Qty1,Pricing-Qty2,Pricing-Qty3,Pricing-Qty4,Pricing-Qty5,Pricing-Price1,Pricing-Price2,Pricing-Price3,Pricing-Price4,Pricing-Price5,Pricing-Code1,Pricing-Code2,Pricing-Code3,Pricing-Code4,Pricing-Code5
8333,Blaze Cap with Camo Visor,Image Lock,48,96,144,576,1008,9.28,8.88,8.48,8.28,8.08,C,C,C,C,C
8333,Blaze Cap with Camo Visor,Embroidery,48,96,144,576,1008,11.38,11.18,10.98,10.78,10.58,C,C,C,C,C
8333,Blaze Cap with Camo Visor,Vivid Expressions,100,144,576,1008,,9.88,9.48,9.28,9.08,,C,C,C,C,
8333,Blaze Cap with Camo Visor,Blank,24,96,144,576,1008,7.78,7.52,7.37,7.23,7.07,C,C,C,C,C
8352,Oilfield Camo With Visor Logo,Image Lock,48,96,144,576,1008,10.58,10.18,9.78,9.58,9.38,C,C,C,C,C
8352,Oilfield Camo With Visor Logo,Embroidery,48,48,48,96,96,12.68,12.68,12.68,12.48,12.48,C,C,C,C,C
8352,Oilfield Camo With Visor Logo,Vivid Expressions,100,144,576,576,576,11.18,10.78,10.58,10.58,10.58,C,C,C,C,C
8352,Oilfield Camo With Visor Logo,Blank,24,24,24,96,96,10.58,10.58,9.02,10.18,10.18,C,C,C,C,C
8615,Tri-Color Cap,Image Lock,48,96,144,576,1008,5.98,5.58,5.18,4.98,4.78,C,C,C,C,C
8615,Tri-Color Cap,Embroidery,48,96,144,576,1008,8.08,7.88,7.68,7.48,7.28,C,C,C,C,C
8615,Tri-Color Cap,Vivid Expressions,100,144,576,1008,,6.58,6.18,5.98,5.78,,C,C,C,C,
8615,Tri-Color Cap,Blank,24,96,144,576,1008,4.42,4.23,4.07,3.9,3.77,C,C,C,C,C
8623,Microfiber Cap,Image Lock,48,96,144,576,1008,3.47,3.47,3.47,3.47,3.47,C,C,C,C,C
8623,Microfiber Cap,Blank,24,96,144,576,1008,2.76,2.76,2.76,2.76,2.76,C,C,C,C,C
8628,Slope Cap,Image Lock,48,96,144,576,1008,3.27,3.27,3.27,3.27,3.27,C,C,C,C,C
8628,Slope Cap,Blank,24,96,144,576,1008,2.26,2.26,2.26,2.26,2.26,C,C,C,C,C
8630,Spirit Wave Cap,Image Lock,48,96,144,576,1008,4.68,4.28,3.88,3.68,3.49,C,C,C,C,C
8630,Spirit Wave Cap,Embroidery,48,96,144,576,1008,6.78,6.58,6.38,6.18,5.99,C,C,C,C,C
8630,Spirit Wave Cap,Vivid Expressions,100,144,576,1008,,5.28,4.88,4.68,4.48,,C,C,C,C,
8630,Spirit Wave Cap,Blank,24,96,144,576,1008,3.2,3.02,2.87,2.67,2.47,C,C,C,C,C
8635,Twill Accent Cap,Image Lock,48,96,144,576,1008,5.98,5.58,5.18,4.98,4.78,C,C,C,C,C
8635,Twill Accent Cap,Embroidery,48,96,144,576,1008,8.08,7.88,7.68,7.48,7.28,C,C,C,C,C
8635,Twill Accent Cap,Vivid Expressions,100,144,576,1008,,6.58,6.18,5.98,5.78,,C,C,C,C,
8635,Twill Accent Cap,Blank,24,96,144,576,1008,4.42,4.23,4.07,3.9,3.77,C,C,C,C,C
8645,Medalist Cap,Image Lock,48,96,144,576,1008,5.98,5.58,5.18,4.98,4.78,C,C,C,C,C
8645,Medalist Cap,Embroidery,48,96,144,576,1008,8.08,7.88,7.68,7.48,7.28,C,C,C,C,C
8645,Medalist Cap,Vivid Expressions,100,144,576,1008,,6.58,6.18,5.98,5.78,,C,C,C,C,
8645,Medalist Cap,Blank,24,96,144,576,1008,4.42,4.23,4.07,3.9,3.77,C,C,C,C,C
