Item# (SKU),Item Name,Charge Name,Charge Type,Setup,Reorder Setup,Run Charge-Qty1,Run Charge-Qty2,Run Charge-Qty3,Run Charge-Qty4,Run Charge-Qty5,Code
ALOHAPN,Aloha Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
APPLE,Apple Shaped Stress Reliever,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
APPLE,Apple Shaped Stress Reliever,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
APROCHAP_CL,Chappie Apron - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
APROFRNC_CL,Frenchie Apron,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ARROW,Arrow Shaped Stress Reliever,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
ARROW,Arrow Shaped Stress Reliever,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ARROWCLP,Arrow Clip,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ARROWCLP,Arrow Clip,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
ARROWCLP_CL,Arrow Clip - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
ASTRAT_CL,Astra Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
ASTRA_CL,Astra Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
ATHENAPN,Athena Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
ATHENAPN,Athena Pen,Laser Engraving Set-Up/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
AUDIOEB,Audio Earbuds,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
AUDIOEB,Audio Earbuds,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
AUGUSPEN_CL,Augustine Pen - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
AUTOLNG,Auto Media Lounger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
AUTOLNG,Auto Media Lounger,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
AUTORGZ_CL,Auto Organizer - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BABBUBKG,20oz. baby bubba  Keg,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BANDITBK,Band-It Bookmark,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BANGSTX,Banger Styx,Multi Color Run Charge  Per Color ,RUN,0,0,0.36,0.22,0.11,0.06,0.03,5G
BANGSTX,Banger Styx,Set-Up Charge/Change of Copy,SETUP,65,65,0,0,0,0,0,G
BARBRTLT,Bar Bright Safety Light,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BARTPEN,Bartleby Stylus Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
BARTPEN,Bartleby Stylus Pen,Laser Engraving Set-Up/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BASEBL,Baseball Stress Reliever,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BASEBL,Baseball Stress Reliever,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
BAYCLTOT,Bay Cooler Tote,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BAYCLTOT,Bay Cooler Tote,Color Surge PMS Color Match Per Color,SETUP,55,27.5,0,0,0,0,0,G
BAYCLTOT,Bay Cooler Tote,Color Surge 4 Color Process Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
BBLBAU_CL,Bubble Bauble - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BBUY,Bargain Buy Pencil,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
BBUY,Bargain Buy Pencil,Sharpening,RUN,0,0,0.05,0.05,0.05,0.05,0.05,5G
BCKPKCLR,Backpack Cooler Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BCKPKCLR,Backpack Cooler Bag,Color Surge Run Charge,RUN,0,0,4,2.5,1.5,1.5,1.5,5G
BCOKC,Bottle/Can Opener Key Chain,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BCOKC,Bottle/Can Opener Key Chain,Multi Color Run Charge  Per Color ,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
BCOKC,Bottle/Can Opener Key Chain,Color Surge Run Charge,RUN,0,0,0.3,0.3,0.25,0.2,0.2,5G
BEACHNIK,Beach Nik,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BELLATMB,16oz. Bella Tumbler,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BELMSTPN,Belmont Stylus Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
BERMDAEX,Bermuda Executive,Set-Up Charge/Change of Copy,SETUP,70,35.5,0,0,0,0,0,G
BEVRCAD,Beverage Caddy,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BEVRCAD,Beverage Caddy,Color Surge Run Charge,RUN,0,0,4,2,1.5,1.5,1.5,5G
BEVRCDCM,Beverage Caddy - Camo,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BEVRCDCM,Beverage Caddy - Camo,Color Surge Run Charge,RUN,0,0,4,2,1.5,1.5,1.5,5G
BIGISTPN,Biggie Stylus Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
BIGLNGR,The Big Lounger,Assembly Charge,RUN,0,0,0.75,0.75,0.75,0.75,0.75,5G
BIGLNGR,The Big Lounger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BIGLNGR,The Big Lounger,Color Surge Run Charge,RUN,0,0,0,4,2.5,2,1.5,4G
BIKEBTLC,24oz. Bike Bottle,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BIKEBTLC,24oz. Bike Bottle,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
BIKEBTLC,24oz. Bike Bottle,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
BIKEBTLC_CL,24oz. Bike Bottle - Closeout,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BIOCUP,16oz. Stadium Cup,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BIOCUP,16oz. Stadium Cup,Color Surge,SETUP,95,47.5,0,0,0,0,0,G
BIOCUP,16oz. Stadium Cup,Color Surge Run Charge,RUN,0,0,0.99,0.99,0.99,0.99,0.99,5G
BLAKEHI,Blakely Highlighter Pen,Set-Up Charge/Change of Copy,SETUP,45,22.5,0,0,0,0,0,G
BMBONBK,Bamboo Sticky Notebook,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BNDYBRT,Bendy Bright,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BOMBTSK,Boom Boom Pow,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BRANDCHG,Brand Charger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BREAKER,Breaker Tote Bag,2nd Location Imprint Run Charge,RUN,0,0,0.5,0.5,0.5,0.5,0.5,5G
BREAKER,Breaker Tote Bag,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BREAKER,Breaker Tote Bag,Color Surge Run Charge,RUN,0,0,2.5,1.5,1.5,1.5,1.5,5G
BRZYLNGR,Breezy Lounger,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BRZYLNGR,Breezy Lounger,Assembly Charge,RUN,0,0,0.75,0.75,0.75,0.75,0.75,5G
BRZYLNGR,Breezy Lounger,Color Surge Run Charge,RUN,0,0,0,4,2.5,2,1.5,4G
BSKTBL,Basketball Stress Reliever,Set-Up Charge/Change of Copy,SETUP,55,27.5,0,0,0,0,0,G
BSKTBL,Basketball Stress Reliever,2nd Location Imprint Run Charge,RUN,0,0,0.25,0.25,0.25,0.25,0.25,5G
